id;waste_type;disposal_method;source
1;제단;../fake-data/blob/hipster.txt;PUBLIC_API
2;though;../fake-data/blob/hipster.txt;PUBLIC_API
3;붐비는;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
4;whoa;../fake-data/blob/hipster.txt;PUBLIC_API
5;before;../fake-data/blob/hipster.txt;PUBLIC_API
6;lest astride pale;../fake-data/blob/hipster.txt;PUBLIC_API
7;뛰어난;../fake-data/blob/hipster.txt;LLM_GENERATED
8;용기 있는 into disgorge;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
9;몹시 아름답게;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
10;print 화려한;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
11;inasmuch;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
12;holster 무심한 provided;../fake-data/blob/hipster.txt;PUBLIC_API
13;because times;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
14;phooey psst pace;../fake-data/blob/hipster.txt;LLM_GENERATED
15;살아 있는;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
16;outside;../fake-data/blob/hipster.txt;PUBLIC_API
17;than till;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
18;친숙한 yet;../fake-data/blob/hipster.txt;LLM_GENERATED
19;조잡한 blah;../fake-data/blob/hipster.txt;PUBLIC_API
20;um 윙윙 provided;../fake-data/blob/hipster.txt;PUBLIC_API
21;같은 gadzooks 정확한;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
22;심하게 오후 scoff;../fake-data/blob/hipster.txt;PUBLIC_API
23;chatter 해석학;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
24;because fluff;../fake-data/blob/hipster.txt;PUBLIC_API
25;brr 윙윙 분위기;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
26;make;../fake-data/blob/hipster.txt;LLM_GENERATED
27;간단히;../fake-data/blob/hipster.txt;PUBLIC_API
28;농업 교양 있는;../fake-data/blob/hipster.txt;LLM_SUPPLEMENTED
29;yet shout;../fake-data/blob/hipster.txt;LLM_GENERATED
30;gosh;../fake-data/blob/hipster.txt;PUBLIC_API
