id;is_accurate;corrected_class;comment
1;false;언제나 brr;탈진한 yum
2;false;into;충실한
3;false;now why because;rebuild
4;true;hmph;phew 경보 나중에
5;false;ew 불결한;duh over
6;false;boohoo uh-huh;confute upon guest
7;false;사려 깊은 경험한;천하게
8;true;극진히 비행기 용감하게;rekindle 승인
9;true;lack ugh 더러운;er 의식하는
10;false;공항 바쁘게;under
11;false;outfox;before 분주한
12;true;의식하는 worth 큰;다채롭게 기민한
13;false;whether 부사 huzzah;관심 있는 약간의 following
14;false;명랑하게 who whether;나중에 whoever
15;false;brr 저명한 구급차;by blah phew
16;true;아름답게 low mmm;mmm
17;true;cease;abaft 행복하게
18;false;anti motivate er;화난 합의
19;false;as 대행사;leap
20;false;쿨하게;reapply 고귀한 since
21;true;엄청난 충실한;than 대행사
22;false;비행사;till 적응 near
23;false;즐거움 oh 열심히;meh 진지한
24;false;whether 방어;활동
25;true;boohoo 빠르게 시원한;rejoin yippee
26;true;rag;똑똑하게
27;false;westernize on 마구;마구 except
28;true;unlike 방어;from flight
29;true;항공료 분명한 yahoo;분명히
30;false;since;quintuple but
