id;enabled;fcm_token
1;false;대사 지속적으로
2;true;phew 마구
3;true;zowie
4;true;자랑스럽게 의심스럽게 underneath
5;false;자랑스럽게
6;true;vice
7;false;쾌활한 by athwart
8;false;음향학 off er
9;false;yet
10;false;aha
11;false;chime 먼 지속적으로
12;false;면밀히 다소
13;false;excluding
14;false;굵은
15;true;ew once
16;false;유감스럽게 until ha
17;false;bah
18;false;간단히 지속적으로 사랑하는
19;true;시원한 천하게 용감하게
20;false;gosh inside 분위기
21;true;even blah 고대의
22;true;세련된
23;true;분석자 than 농업
24;true;공적 conceal 언제나
25;true;along
26;true;권위 있는 once and
27;false;redound
28;false;잔혹한 yum 정확한
29;true;항공편
30;false;마구 고뇌
