id;sido;sigungu;emd_name;emd_code
1;oof;conceptualize 타원형의;교활한 convince;underneath but
2;호박색;trash represent;snoop 주소;intermesh anti spellcheck
3;진지한;pro 고요히 예의;than;efface 짧은
4;보좌관;reiterate er failing;어려운 however 희미하게;which 먹을 수 있는
5;yowza;without;circumnavigate;기초적인 where 적절한
6;유치한 intermesh 합금;beyond;분주한;because whenever
7;or eek;역겨운 노하여 탄력 있는;배당;off
8;ah;적절한 진보 도전적으로;nor;confute 불쌍한
9;빠르게 aha;억센;snuggle until;culminate per
10;but 비정상적으로 합의;밝게 provided;무서운 어색하게;제단 다채롭게 till
11;친절한 as and;for 비정상적으로;거의;gah modulo scrape
12;무더운 before;응집 이국적인 along;상세한 outside 형용사;incidentally 어댑터 불쌍한
13;how;ick 분명히 무더운;abaft 행복하게;aha gah
14;yippee;weatherize 바쁘게;emphasize;금발의 whose
15;including ew er;어느 나중에 brr;불쌍한 but;깊이 treasure
16;정확한 불쌍한;archive overload incidentally;huzzah shoot 교육받은;crackle 어두운 예의
17;mmm;흥미롭게 ew 필수적인;that;pixellate
18;toward;넓은 마음을 가진;고의로 여배우;er
19;귀여운 대안;syringe 진보;마구 provided than;over
20;ugh;insist along;불쌍한;yippee 똑똑하게
21;몹시 about 죽은;gah proofread;outside 빠르게 바르게;which 고대의
22;일 공군;우연히 상세한 잔인하게;like;안건 regarding before
23;조언;geez;phooey;출현 before
24;골목 sham;부끄러운;consequently psst 의식하는;탄약 깊이 whoa
25;거꾸로 stoop 건조한;out 구실;정확한 무정부주의자 furthermore;다소 astride 유연
26;행복하게 분주한;rule;합금 incidentally pfft;excepting gee
27;although;통통한;음향학;에어백 대체로
28;두려운 phooey unlike;excepting;from 대행사 세련된;meanwhile 유리한 around
29;and yowza;circa against;treasure;거의
30;비행장;배우 plus pace;행복하게 gadzooks than;whoever 유명한
