id;detected_class;confidence;image_url;detail_result;classified_at
1;as 즐거움 빠른;2468.32;불안한 다소 round;../fake-data/blob/hipster.txt;2026-03-30T03:03:19
2;psst along;14418.12;이점 간단히;../fake-data/blob/hipster.txt;2026-03-30T12:02:13
3;먼 fooey;26436.47;맹목적으로 whereas;../fake-data/blob/hipster.txt;2026-03-29T19:14:09
4;용감하게 vet because;5031.04;whoa 유치한;../fake-data/blob/hipster.txt;2026-03-30T03:42:26
5;while 막대한;7553.43;lack 용감하게 blah;../fake-data/blob/hipster.txt;2026-03-30T02:39:55
6;maroon swerve;24442.42;광고 geez;../fake-data/blob/hipster.txt;2026-03-30T07:39:24
7;but alongside;593.54;천하게 although;../fake-data/blob/hipster.txt;2026-03-30T08:14:01
8;노하여 instead 치명적인;7782.41;형용사;../fake-data/blob/hipster.txt;2026-03-30T16:24:27
9;quash enlist considering;25842.89;shush nor;../fake-data/blob/hipster.txt;2026-03-30T09:57:45
10;subtract;3805.8;경솔한 upon 부정한;../fake-data/blob/hipster.txt;2026-03-29T23:09:06
11;생분해성;6202.84;맛있는 유추 and;../fake-data/blob/hipster.txt;2026-03-30T16:02:08
12;도전적으로 while redact;6950.57;간단히 woot 열심히;../fake-data/blob/hipster.txt;2026-03-30T10:04:58
13;생기 있는 음침한 where;10114.89;yippee 용감한;../fake-data/blob/hipster.txt;2026-03-30T11:23:34
14;양 as 부정한;18405.87;의심스럽게;../fake-data/blob/hipster.txt;2026-03-30T09:05:42
15;yum 비행사 represent;19246.06;대사;../fake-data/blob/hipster.txt;2026-03-29T18:09:09
16;against pluck though;15663.28;혼란스러운 활동적인;../fake-data/blob/hipster.txt;2026-03-30T13:13:38
17;until;13364.48;horn;../fake-data/blob/hipster.txt;2026-03-30T00:55:45
18;among because meanwhile;30569.01;sans 공기 excluding;../fake-data/blob/hipster.txt;2026-03-30T00:56:40
19;boo;31735.8;cannibalise 양자;../fake-data/blob/hipster.txt;2026-03-30T01:54:43
20;around;30083.61;마구 환상적 eek;../fake-data/blob/hipster.txt;2026-03-29T19:20:13
21;behind 알파벳;4429.89;symbolise 예의;../fake-data/blob/hipster.txt;2026-03-30T04:21:21
22;즐겁게 roger;9131.59;if 제단;../fake-data/blob/hipster.txt;2026-03-30T05:59:08
23;침략 유추;32629.55;psst 이점 between;../fake-data/blob/hipster.txt;2026-03-30T12:48:03
24;광고 whereas;26670.46;circa regarding 양자;../fake-data/blob/hipster.txt;2026-03-30T14:28:51
25;희미하게 yum 나중에;15092.85;몹시 방음;../fake-data/blob/hipster.txt;2026-03-30T11:08:47
26;so 순수한;5686.62;unless 노하여;../fake-data/blob/hipster.txt;2026-03-30T10:39:26
27;keel;31570.06;ew 용감하게 but;../fake-data/blob/hipster.txt;2026-03-30T08:10:21
28;midst er;2280.42;해석학 aha;../fake-data/blob/hipster.txt;2026-03-30T12:41:57
29;that 방음;14247;예의 화려한;../fake-data/blob/hipster.txt;2026-03-30T10:26:10
30;언제나;29041.89;ew;../fake-data/blob/hipster.txt;2026-03-30T07:30:36
