id;original_url;thumbnail_url
1;assail 고문;and in
2;aw among;although for about
3;gee who;foot at provided
4;duh;yippee 우연히 fooey
5;bah and;자신 있는
6;분명히;considering 몹시
7;ouch including;맛있는
8;동맹;hm 공항 해석학
9;부족한;비행장 better 연산
10;which 심하게;단호한 um as
11;빠르게 mutate woot;horn
12;무서운 gadzooks provided;gosh above
13;mmm 제단;노하여 slap 죽은
14;ouch 행복한 char;gadzooks 출현
15;but boohoo;meanwhile yet
16;yuck indeed;맹목적으로
17;of;관리
18;behind;that 출현 살아 있는
19;필수적인 행동 통통한;to
20;이타적인;attribute 불룩한
21;atop slather chatter;barring that when
22;aha;경솔한 활동적인 흥미롭게
23;내세 that;who 교양 있는 적절한
24;지속적으로;boohoo 면밀히
25;as;undergo 반침 phooey
26;조언 card;times
27;till since;에일
28;ack 사랑하는 until;결정적인 woot
29;over;항공료
30;몹시 uh-huh if;쿨하게
